user_id,studying_style_dim_1,studying_style_dim_2,studying_style_dim_3,studying_style_dim_4,user_location,module_1,module_2,module_3,module_4,module_5,module_6
0,-5,-11,-7,-7,HARBOURFRONT,2,4,8,10,15,22
1,1,5,5,-3,RESIDENTIAL COLLEGE 4,1,3,7,13,17,23
2,9,-3,11,-3,OUTRAM PARK,3,7,7,14,19,25
3,1,-5,1,9,GUL CIRCLE,3,5,7,10,18,24
4,-3,-3,7,-3,LITTLE INDIA,1,7,7,11,19,27
5,-9,-9,-11,-7,YISHUN,2,6,9,11,20,26
6,-11,-1,9,11,MARINA SOUTH PIER,3,6,7,14,16,22
7,-1,-1,7,1,ADMIRALTY,3,7,6,11,18,27
8,-7,-7,-1,-1,TAI SENG,1,6,8,12,19,24
9,3,1,1,-9,LAKESIDE,1,7,7,13,17,21
10,-5,-5,-7,-1,TIONG BAHRU,2,5,9,12,19,23
11,-11,5,11,5,GEYLANG BAHRU,3,6,8,12,17,22
12,1,5,-1,1,FARRER ROAD,1,7,6,14,17,23
13,1,1,-9,1,RAFFLES PLACE,1,5,8,11,18,23
14,5,1,-1,-11,CHINESE GARDEN,3,7,6,11,17,26
15,-11,-1,9,-7,PASIR PANJANG,3,5,9,11,15,22
16,-1,9,-9,9,HUME,1,5,7,11,20,25
17,-11,11,3,-3,GEYLANG BAHRU,1,6,9,14,17,26
18,-5,3,7,-9,BRADDELL,1,5,9,13,20,26
19,5,-11,3,7,BEAUTY WORLD,3,4,6,11,20,25
20,7,1,-3,-11,TIONG BAHRU,1,6,6,13,19,27
21,7,-9,5,11,GUL CIRCLE,2,5,6,10,15,22
22,-5,7,-11,-11,BUANGKOK,3,7,6,13,15,25
23,1,11,-11,9,PUNGGOL,3,5,9,10,19,25
24,-7,-11,-7,5,TELOK AYER,2,4,8,13,16,25
25,-9,9,-7,-3,YISHUN,3,7,6,12,17,22
26,11,-9,7,7,MARINA BAY,1,5,9,12,20,23
27,-11,-11,1,-9,SERANGOON,2,7,7,10,20,23
28,1,7,-3,-11,KING EDWARD VII HALL,2,5,7,12,17,25
29,3,9,-7,-11,PROMENADE,3,7,6,11,17,22
30,5,11,-9,-3,LAKESIDE,1,7,8,10,15,23
31,-11,7,-5,-11,BOON KENG,2,4,8,10,20,26
32,9,-7,1,9,ALJUNIED,1,7,6,10,18,22
33,1,-11,-1,-1,YIO CHU KANG,3,6,7,10,17,24
34,-1,-7,-11,1,NEWTON,2,4,6,11,18,27
35,9,7,-9,-9,QUEENSTOWN,1,6,8,10,19,24
36,3,3,5,-3,ROCHOR,3,6,7,10,15,26
37,7,1,-11,-5,UBI,3,4,7,11,16,27
38,1,3,3,3,MARINA BAY,1,5,9,11,19,24
39,1,-11,5,-7,BARTLEY,2,4,7,14,19,22
40,3,-11,9,9,TELOK BLANGAH,2,5,8,10,18,23
