user_id,studying_style_dim_1,studying_style_dim_2,studying_style_dim_3,studying_style_dim_4,user_location,module_1,module_2,module_3,module_4,module_5,module_6
0,7,11,3,7,CASHEW,1,5,8,10,20,25
1,11,-5,-3,3,KING EDWARD VII HALL,2,4,8,14,15,25
2,-1,1,-5,-5,ONE-NORTH,2,6,8,10,19,25
3,11,5,-5,5,HILLVIEW,3,6,7,12,19,24
4,7,-5,1,-5,SIMEI,2,5,8,10,15,21
5,-9,-11,7,7,KALLANG,3,5,8,12,15,25
6,-5,-1,-1,-7,HARBOURFRONT,2,6,9,11,17,23
7,5,9,1,-1,BOON LAY,3,4,9,11,18,25
8,7,-11,3,9,BISHAN,2,5,7,12,16,23
9,-7,3,-1,-7,SERANGOON,2,4,7,10,15,24
10,-3,-3,9,-3,MOUNTBATTEN,2,6,7,13,17,25
11,9,-7,11,3,QUEENSTOWN,3,6,7,14,18,25
12,1,-5,-9,-1,SHEARES HALL,1,7,6,13,16,25
13,-3,11,-1,-7,NEWTON,1,6,6,10,15,26
14,-9,-3,9,9,BRADDELL,2,6,6,13,20,21
15,-11,11,5,11,WOODLANDS SOUTH,1,7,6,13,20,26
16,-9,-1,3,3,CALDECOTT,3,5,8,11,15,26
17,-1,1,-5,7,TOA PAYOH,1,6,7,13,16,25
18,-1,1,-11,7,GEYLANG BAHRU,1,7,6,10,17,22
19,-7,-11,1,-11,SHEARES HALL,3,4,7,13,15,23
20,7,9,3,-5,TAMPINES,3,5,7,11,20,25
21,-3,-5,3,-11,PROMENADE,3,4,6,12,16,21
22,11,-1,1,-1,DHOBY GHAUT,2,7,6,11,15,22
23,1,-9,-7,-3,BENCOOLEN,2,5,7,12,18,25
24,-11,-9,7,7,SOMERSET,3,5,9,13,20,26
25,-9,-9,-7,9,ALJUNIED,1,5,8,13,16,25
26,9,-5,-3,-3,BEAUTY WORLD,3,5,9,14,15,27
27,9,-5,-7,-5,BUONA VISTA,2,5,8,12,15,21
28,11,-7,1,11,ANG MO KIO,3,5,9,12,19,22
29,9,5,1,1,ROCHOR,1,5,8,12,15,25
30,-5,9,3,1,BUKIT BATOK,1,4,9,10,17,23
31,-5,3,-11,-9,ALJUNIED,3,7,6,10,18,25
